scenario,model,repeat,fold,accuracy,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,specificity,brier_score,threshold
replica_completa,ElasticNet LR (all features),1,1,0.6875,0.809384164222874,0.8277809222937612,0.7037037037037037,0.6129032258064516,0.6551724137931034,0.6852394916911047,0.7575757575757576,0.1829665519004765,0.5
replica_completa,ElasticNet LR (all features),1,2,0.765625,0.81640625,0.8538941187099462,0.8695652173913043,0.625,0.7272727272727273,0.765625,0.90625,0.1738904277923879,0.5
replica_completa,ElasticNet LR (all features),1,3,0.78125,0.8662109375,0.8882706603696549,0.7647058823529411,0.8125,0.7878787878787878,0.78125,0.75,0.14831026763285426,0.5
replica_completa,ElasticNet LR (all features),1,4,0.71875,0.8173828125,0.7842808998337853,0.75,0.65625,0.7,0.71875,0.78125,0.1737638033151352,0.5
replica_completa,ElasticNet LR (all features),1,5,0.873015873015873,0.9516129032258065,0.9535533421110571,0.896551724137931,0.8387096774193549,0.8666666666666667,0.8724798387096775,0.90625,0.10060324982669148,0.5
replica_completa,ElasticNet LR (all features),2,1,0.8125,0.8856304985337243,0.8891782150619583,0.8518518518518519,0.7419354838709677,0.7931034482758621,0.8103616813294232,0.8787878787878788,0.142517222259256,0.5
replica_completa,ElasticNet LR (all features),2,2,0.796875,0.8369140625,0.8259423111316201,0.8275862068965517,0.75,0.7868852459016393,0.796875,0.84375,0.15910428921646042,0.5
replica_completa,ElasticNet LR (all features),2,3,0.765625,0.8486328125,0.8197326001657386,0.7931034482758621,0.71875,0.7540983606557377,0.765625,0.8125,0.15671790785964057,0.5
replica_completa,ElasticNet LR (all features),2,4,0.859375,0.9208984375,0.9315090736707116,0.8709677419354839,0.84375,0.8571428571428571,0.859375,0.875,0.11388153654599083,0.5
replica_completa,ElasticNet LR (all features),2,5,0.746031746031746,0.870967741935484,0.89125425690934,0.8,0.6451612903225806,0.7142857142857143,0.7444556451612903,0.84375,0.14658646625919527,0.5
replica_completa,ElasticNet LR (all features),3,1,0.765625,0.8748778103616812,0.8949235896256225,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.7639296187683284,0.8181818181818182,0.1409844345092267,0.5
replica_completa,ElasticNet LR (all features),3,2,0.796875,0.8828125,0.8468754046463528,0.8275862068965517,0.75,0.7868852459016393,0.796875,0.84375,0.14351650013148531,0.5
replica_completa,ElasticNet LR (all features),3,3,0.75,0.876953125,0.8725316403078223,0.8076923076923077,0.65625,0.7241379310344828,0.75,0.84375,0.15498344956838325,0.5
replica_completa,ElasticNet LR (all features),3,4,0.71875,0.84375,0.8580577162549228,0.75,0.65625,0.7,0.71875,0.78125,0.1697788121259204,0.5
replica_completa,ElasticNet LR (all features),3,5,0.746031746031746,0.8014112903225806,0.8249293430830291,0.8,0.6451612903225806,0.7142857142857143,0.7444556451612903,0.84375,0.17893311391044342,0.5
replica_completa,XGBoost (ANOVA32),1,1,0.828125,0.8602150537634409,0.8986128879972295,0.8333333333333334,0.8064516129032258,0.819672131147541,0.8274682306940371,0.8484848484848485,0.14950649316919318,0.5
replica_completa,XGBoost (ANOVA32),1,2,0.75,0.806640625,0.8603943497477979,0.7857142857142857,0.6875,0.7333333333333333,0.75,0.8125,0.18437629732138175,0.5
replica_completa,XGBoost (ANOVA32),1,3,0.796875,0.869140625,0.890406526293351,0.7714285714285715,0.84375,0.8059701492537313,0.796875,0.75,0.15915830194031785,0.5
replica_completa,XGBoost (ANOVA32),1,4,0.765625,0.8115234375,0.8429633907506786,0.7931034482758621,0.71875,0.7540983606557377,0.765625,0.8125,0.1862492192058921,0.5
replica_completa,XGBoost (ANOVA32),1,5,0.8253968253968254,0.908266129032258,0.903550760555426,0.8333333333333334,0.8064516129032258,0.819672131147541,0.8251008064516129,0.84375,0.12499965058375928,0.5
replica_completa,XGBoost (ANOVA32),2,1,0.71875,0.8475073313782991,0.8856683878639119,0.6756756756756757,0.8064516129032258,0.7352941176470589,0.7214076246334311,0.6363636363636364,0.1788584536689724,0.5
replica_completa,XGBoost (ANOVA32),2,2,0.765625,0.837890625,0.8415078487914278,0.7297297297297297,0.84375,0.782608695652174,0.765625,0.6875,0.17872284060876037,0.5
replica_completa,XGBoost (ANOVA32),2,3,0.75,0.8251953125,0.8620621857681365,0.8076923076923077,0.65625,0.7241379310344828,0.75,0.84375,0.19261430077327218,0.5
replica_completa,XGBoost (ANOVA32),2,4,0.828125,0.87109375,0.8804361670828617,0.8,0.875,0.835820895522388,0.828125,0.78125,0.1544445381782104,0.5
replica_completa,XGBoost (ANOVA32),2,5,0.873015873015873,0.9032258064516129,0.9224124285812043,0.896551724137931,0.8387096774193549,0.8666666666666667,0.8724798387096775,0.90625,0.11565525904201363,0.5
replica_completa,XGBoost (ANOVA32),3,1,0.71875,0.8279569892473119,0.857741371309438,0.6756756756756757,0.8064516129032258,0.7352941176470589,0.7214076246334311,0.6363636363636364,0.21935567578260617,0.5
replica_completa,XGBoost (ANOVA32),3,2,0.75,0.83984375,0.8411325626947247,0.7222222222222222,0.8125,0.7647058823529411,0.75,0.6875,0.17144799755339318,0.5
replica_completa,XGBoost (ANOVA32),3,3,0.875,0.9365234375,0.9559626074292537,0.875,0.875,0.875,0.875,0.875,0.09539421368100182,0.5
replica_completa,XGBoost (ANOVA32),3,4,0.71875,0.833984375,0.8590649472139152,0.71875,0.71875,0.71875,0.71875,0.71875,0.1898851222385562,0.5
replica_completa,XGBoost (ANOVA32),3,5,0.7301587301587301,0.7782258064516129,0.8282342553043434,0.7916666666666666,0.6129032258064516,0.6909090909090909,0.7283266129032258,0.84375,0.21460795729041077,0.5
replica_completa,GB (ANOVA32),1,1,0.78125,0.8709677419354838,0.9069981466568425,0.7575757575757576,0.8064516129032258,0.78125,0.7820136852394917,0.7575757575757576,0.18822364906826153,0.5
replica_completa,GB (ANOVA32),1,2,0.78125,0.8837890625,0.9071348128586042,0.8,0.75,0.7741935483870968,0.78125,0.8125,0.20893007358292787,0.5
replica_completa,GB (ANOVA32),1,3,0.765625,0.8623046875,0.8843937470266208,0.7575757575757576,0.78125,0.7692307692307693,0.765625,0.75,0.21344113443011956,0.5
replica_completa,GB (ANOVA32),1,4,0.78125,0.8349609375,0.867114188210824,0.8214285714285714,0.71875,0.7666666666666667,0.78125,0.84375,0.2027841877177109,0.5
replica_completa,GB (ANOVA32),1,5,0.8253968253968254,0.908266129032258,0.9263713862240424,0.8571428571428571,0.7741935483870968,0.8135593220338984,0.8245967741935484,0.875,0.1651154979814003,0.5
replica_completa,GB (ANOVA32),2,1,0.765625,0.8533724340175953,0.8815287664661626,0.7105263157894737,0.8709677419354839,0.782608695652174,0.7688172043010753,0.6666666666666666,0.20367409669844444,0.5
replica_completa,GB (ANOVA32),2,2,0.796875,0.8623046875,0.868716683877482,0.7567567567567568,0.875,0.8115942028985508,0.796875,0.71875,0.1801721593199533,0.5
replica_completa,GB (ANOVA32),2,3,0.78125,0.830078125,0.844236096763169,0.8461538461538461,0.6875,0.7586206896551724,0.78125,0.875,0.22147209659822753,0.5
replica_completa,GB (ANOVA32),2,4,0.828125,0.8828125,0.8996831846318114,0.8,0.875,0.835820895522388,0.828125,0.78125,0.15995845387208618,0.5
replica_completa,GB (ANOVA32),2,5,0.8571428571428571,0.9203629032258066,0.931452754294306,0.8666666666666667,0.8387096774193549,0.8524590163934426,0.8568548387096775,0.875,0.1473665030607967,0.5
replica_completa,GB (ANOVA32),3,1,0.796875,0.8983382209188661,0.9017409822385067,0.7647058823529411,0.8387096774193549,0.8,0.7981427174975562,0.7575757575757576,0.1990555083740943,0.5
replica_completa,GB (ANOVA32),3,2,0.765625,0.8583984375,0.8602813571444123,0.7297297297297297,0.84375,0.782608695652174,0.765625,0.6875,0.20087218572587245,0.5
replica_completa,GB (ANOVA32),3,3,0.859375,0.9326171875,0.9498494470330932,0.8484848484848485,0.875,0.8615384615384616,0.859375,0.84375,0.11293084563785606,0.5
replica_completa,GB (ANOVA32),3,4,0.75,0.837890625,0.8379463580027541,0.7352941176470589,0.78125,0.7575757575757576,0.75,0.71875,0.22523764658347267,0.5
replica_completa,GB (ANOVA32),3,5,0.746031746031746,0.780241935483871,0.8442599441586744,0.8260869565217391,0.6129032258064516,0.7037037037037037,0.7439516129032258,0.875,0.2272216041650062,0.5
