scenario,model,repeat,fold,accuracy,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,specificity,brier_score,threshold
rural,ElasticNet LR (rural),1,1,0.6875,0.7419354838709677,0.7760656918214993,0.7619047619047619,0.5161290322580645,0.6153846153846154,0.6823069403714566,0.8484848484848485,0.20663093379576772,0.5
rural,ElasticNet LR (rural),1,2,0.6875,0.69921875,0.7594897330882131,0.7727272727272727,0.53125,0.6296296296296297,0.6875,0.84375,0.21386343947341924,0.5
rural,ElasticNet LR (rural),1,3,0.671875,0.716796875,0.7794765124478916,0.6896551724137931,0.625,0.6557377049180327,0.671875,0.71875,0.21462663773039534,0.5
rural,ElasticNet LR (rural),1,4,0.765625,0.7626953125,0.7916054238578856,0.84,0.65625,0.7368421052631579,0.765625,0.875,0.19339215874622473,0.5
rural,ElasticNet LR (rural),1,5,0.746031746031746,0.817540322580645,0.8648240124242256,0.8,0.6451612903225806,0.7142857142857143,0.7444556451612903,0.84375,0.17090821583121238,0.5
rural,ElasticNet LR (rural),2,1,0.703125,0.7673509286412512,0.7987850246527073,0.7307692307692307,0.6129032258064516,0.6666666666666666,0.7003910068426198,0.7878787878787878,0.18835302794624115,0.5
rural,ElasticNet LR (rural),2,2,0.671875,0.736328125,0.7814833777739933,0.7619047619047619,0.5,0.6037735849056604,0.671875,0.84375,0.20998304177979127,0.5
rural,ElasticNet LR (rural),2,3,0.671875,0.76953125,0.8011122504935821,0.7391304347826086,0.53125,0.6181818181818182,0.671875,0.8125,0.1942841221772792,0.5
rural,ElasticNet LR (rural),2,4,0.734375,0.80078125,0.8324859269620732,0.7586206896551724,0.6875,0.7213114754098361,0.734375,0.78125,0.1778837112386979,0.5
rural,ElasticNet LR (rural),2,5,0.746031746031746,0.8104838709677419,0.8521833450061673,0.8260869565217391,0.6129032258064516,0.7037037037037037,0.7439516129032258,0.875,0.16948753470882486,0.5
rural,ElasticNet LR (rural),3,1,0.71875,0.8191593352883675,0.8565312933585978,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.718475073313783,0.7272727272727273,0.16554086761713777,0.5
rural,ElasticNet LR (rural),3,2,0.671875,0.7119140625,0.7631648609667434,0.72,0.5625,0.631578947368421,0.671875,0.78125,0.2221646486231891,0.5
rural,ElasticNet LR (rural),3,3,0.65625,0.6748046875,0.7263264340467004,0.7272727272727273,0.5,0.5925925925925926,0.65625,0.8125,0.2234681309977775,0.5
rural,ElasticNet LR (rural),3,4,0.65625,0.701171875,0.7591347024123833,0.6923076923076923,0.5625,0.6206896551724138,0.65625,0.75,0.21276028644149658,0.5
rural,ElasticNet LR (rural),3,5,0.6825396825396826,0.6915322580645161,0.7474579033000569,0.7391304347826086,0.5483870967741935,0.6296296296296297,0.6804435483870968,0.8125,0.2215238736610677,0.5
rural,XGBoost (rural benchmark),1,1,0.640625,0.7135874877810362,0.746630485928504,0.625,0.6451612903225806,0.6349206349206349,0.6407624633431085,0.6363636363636364,0.2540471429605565,0.5
rural,XGBoost (rural benchmark),1,2,0.703125,0.8076171875,0.8337506711611472,0.8095238095238095,0.53125,0.6415094339622641,0.703125,0.875,0.21918333146726876,0.5
rural,XGBoost (rural benchmark),1,3,0.65625,0.6748046875,0.7229481317203729,0.65625,0.65625,0.65625,0.65625,0.65625,0.26899245343949035,0.5
rural,XGBoost (rural benchmark),1,4,0.75,0.7822265625,0.7968411165092297,0.75,0.75,0.75,0.75,0.75,0.2070711884409612,0.5
rural,XGBoost (rural benchmark),1,5,0.746031746031746,0.8175403225806452,0.8417532674659467,0.7272727272727273,0.7741935483870968,0.75,0.7464717741935484,0.71875,0.18616938766233398,0.5
rural,XGBoost (rural benchmark),2,1,0.703125,0.7693059628543499,0.7705662439931557,0.6666666666666666,0.7741935483870968,0.7164179104477612,0.7052785923753666,0.6363636363636364,0.2419426238167488,0.5
rural,XGBoost (rural benchmark),2,2,0.65625,0.7568359375,0.7459574572284282,0.65625,0.65625,0.65625,0.65625,0.65625,0.23079334777317984,0.5
rural,XGBoost (rural benchmark),2,3,0.578125,0.71875,0.741905935182839,0.5757575757575758,0.59375,0.5846153846153846,0.578125,0.5625,0.2574981142774005,0.5
rural,XGBoost (rural benchmark),2,4,0.6875,0.7724609375,0.8099750118897319,0.6875,0.6875,0.6875,0.6875,0.6875,0.22911823738607665,0.5
rural,XGBoost (rural benchmark),2,5,0.7142857142857143,0.8195564516129032,0.8552430259193131,0.76,0.6129032258064516,0.6785714285714286,0.7127016129032258,0.8125,0.19347427846004656,0.5
